id,lastpage,randnumber,benani1,benani2sq001,benani3,bebuni1,bebuni2sq001,bebuni3,beinni1,beinni2sq001,beinni3,benage1,benage2sq001,benage3,bebuge1,bebuge2sq001,bebuge3,beinge1,beinge2sq001,beinge3,frenani1,frenani2sq001,frenani3,frebuni1,frebuni2sq001,frebuni3,freinni1,freinni2sq001,freinni3,frenage1,frenage2sq001,frenage3,frebuge1,frebuge2sq001,frebuge3,freinge1,freinge2sq001,freinge3,ctrl,age,gen1,gen2,gen3,gen4,edu1,edu2,edu3,edu4,edu5,edu6,edu7,edu8,edu10,org1,org2,org3,org4
84,45,4,,,,,,,,,,N,AO01,N,,,,,,,,,,,,,,,,,,,,,,,,,3,55,,,Y,,,Y,,,,,,,,,,Y,
85,45,1,Y,AO06,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,57,Y,,,,,Y,,,,,,,Y,,,Y,
86,45,2,,,,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,56,,,Y,,,,,,,,,,Y,Y,,,
87,45,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO04,N,3,59,,,Y,,,Y,,,,,,,,,,Y,
88,45,9,,,,,,,,,,,,,,,,,,,,,,,,,N,AO05,N,,,,,,,,,,3,26,Y,,,,,,,,,,Y,,,,,Y,
89,45,5,,,,,,,,,,,,,Y,AO01,N,,,,,,,,,,,,,,,,,,,,,,3,69,,,Y,,,,Y,,,,,,,Y,,,
90,45,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,AO03,N,,,,,,,3,46,,,Y,,,,,,,,,,Y,,,Y,
91,45,9,,,,,,,,,,,,,,,,,,,,,,,,,Y,AO02,Y,,,,,,,,,,3,65,Y,,,,,Y,,,,,,,,,,Y,
92,45,6,,,,,,,,,,,,,,,,N,AO01,Y,,,,,,,,,,,,,,,,,,,3,57,Y,,,,,,,Y,,,,,,Y,,,
93,45,1,Y,AO07,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,45,Y,,,,,Y,,,,,,,,,,Y,
94,45,2,,,,Y,AO05,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,35,Y,,,,,,,Y,,,,,,,,Y,
95,45,4,,,,,,,,,,Y,AO03,Y,,,,,,,,,,,,,,,,,,,,,,,,,3,58,Y,,,,,Y,,,,,,,,,,Y,
96,45,8,,,,,,,,,,,,,,,,,,,,,,Y,AO03,Y,,,,,,,,,,,,,3,35,,,Y,,,,Y,,,,,,,,Y,,
