id,lastpage,randnumber,friedlichgerecht,friedlichgewalt,blockieren1gerecht,blockieren1gewalt,blockieren2gerecht,blockieren2gewalt,gewalt1gerecht,gewalt1gewalt,gewalt2gerecht,gewalt2gewalt,kontrollfrage,alter,geschlecht,bildung,partei,parteiother,politischeaktiv1,politischeaktiv2,politischeaktiv3,politischeaktiv4,politischeaktiv5,politischeaktiv6,polizei1,umweltschutz1
183,22,2,,,N,Y,,,,,,,2,41,1,8,5,,Y,,,,,,3,3
184,22,3,,,,,N,Y,,,,,2,41,2,7,2,,Y,,,,Y,,4,4
185,22,1,Y,N,,,,,,,,,2,58,2,5,8,,,,,,Y,,3,4
186,22,1,N,N,,,,,,,,,2,43,2,7,2,,Y,,,,,,4,4
187,22,5,,,,,,,,,Y,Y,2,58,1,5,5,,Y,Y,,Y,,,3,3
188,22,1,Y,N,,,,,,,,,2,58,2,5,4,,,,,,Y,,5,4
189,22,2,,,Y,Y,,,,,,,2,65,1,6,2,,Y,,,,,,4,3
190,10,4,,,,,,,,,,,,,,,,,,,,,,,,
191,22,2,,,Y,Y,,,,,,,2,25,1,8,2,,Y,,,,,,4,3
192,22,5,,,,,,,,,N,Y,2,58,2,5,1,,Y,,,,,,4,4
193,22,2,,,N,Y,,,,,,,2,72,1,5,2,,Y,,,,,,5,5
194,22,1,Y,Y,,,,,,,,,2,63,1,5,5,,Y,,,,,,3,3
195,22,4,,,,,,,Y,N,,,2,39,1,8,4,,Y,Y,,,,,4,4
196,22,2,,,Y,Y,,,,,,,2,55,2,5,8,,,,,,,Y,5,3
197,22,5,,,,,,,,,Y,Y,2,72,1,7,5,,Y,,,,,,5,5
198,22,4,,,,,,,Y,N,,,2,59,2,4,5,,Y,,,,,,3,3
199,22,1,Y,Y,,,,,,,,,2,74,2,6,-oth-,Tierschutz,,,,,,Y,5,5
200,22,4,,,,,,,N,Y,,,2,64,1,8,7,,Y,,,,Y,,4,2
201,22,3,,,,,N,Y,,,,,2,37,2,5,2,,Y,,,,Y,,5,3
202,22,5,,,,,,,,,N,Y,2,69,1,8,3,,Y,,,,,,4,5
203,22,2,,,Y,Y,,,,,,,2,54,1,4,2,,Y,,,,,,4,3
204,22,5,,,,,,,,,N,Y,2,59,2,6,2,,Y,,,,Y,,5,4
205,22,4,,,,,,,Y,Y,,,2,57,1,6,3,,Y,,,,,,3,5
206,22,4,,,,,,,Y,N,,,2,45,2,5,4,,Y,,,,,,5,5
207,22,4,,,,,,,Y,Y,,,2,47,1,5,2,,Y,,,,Y,,5,5
208,22,3,,,,,Y,Y,,,,,2,65,1,5,5,,Y,,,,Y,,3,4
209,15,5,,,,,,,,,N,N,3,,,,,,,,,,,,,
210,22,1,Y,Y,,,,,,,,,2,71,2,5,4,,Y,,,,,,4,4
211,22,4,,,,,,,Y,N,,,2,51,2,4,2,,Y,Y,,,,,5,4
212,22,4,,,,,,,Y,N,,,2,55,2,6,8,,Y,,,,Y,,3,5
213,22,5,,,,,,,,,N,Y,2,66,2,5,8,,,,,,Y,,4,5
214,22,4,,,,,,,Y,N,,,2,41,2,8,1,,Y,Y,,,,,4,4
215,-1,,,,,,,,,,,,,,,,,,,,,,,,,
216,22,4,,,,,,,Y,Y,,,2,58,2,6,1,,Y,,,,,,5,3
217,22,3,,,,,N,Y,,,,,2,36,2,7,7,,Y,Y,,,,,4,3
218,22,4,,,,,,,Y,Y,,,2,69,1,5,8,,Y,,,,,,5,4
219,22,2,,,N,Y,,,,,,,2,68,2,8,4,,Y,,,,,,3,5
220,22,4,,,,,,,N,Y,,,2,58,2,6,-oth-,tierschutzpartei,Y,,,,,,4,4
221,22,2,,,Y,N,,,,,,,2,34,2,6,3,,Y,,,,,,4,4
222,22,1,Y,N,,,,,,,,,2,29,2,5,8,,,Y,,Y,,,3,4
223,22,4,,,,,,,N,Y,,,2,73,2,5,7,,Y,,,,,,5,4
224,,,,,,,,,,,,,,,,,,,,,,,,,,
225,22,5,,,,,,,,,N,Y,2,58,2,8,2,,Y,,,,,,5,5
226,22,1,Y,N,,,,,,,,,2,59,1,7,2,,Y,Y,,,,,4,3
227,22,1,Y,N,,,,,,,,,2,50,2,5,7,,Y,,,,,,2,2
228,22,4,,,,,,,Y,Y,,,2,54,1,6,1,,,,,,,Y,4,5
229,22,5,,,,,,,,,N,Y,2,66,1,4,1,,,,Y,,,,4,5
230,22,4,,,,,,,Y,Y,,,2,46,2,5,5,,Y,,,,,,3,2
231,22,3,,,,,N,N,,,,,2,47,1,8,5,,Y,,,,,,3,3
232,22,5,,,,,,,,,Y,N,2,34,1,3,4,,Y,,Y,Y,,,4,5
233,15,5,,,,,,,,,N,N,1,,,,,,,,,,,,,
234,22,2,,,Y,N,,,,,,,2,59,1,5,1,,Y,,,,,,4,3
235,22,3,,,,,N,Y,,,,,2,67,2,10,7,,Y,,,,,,5,5
236,22,4,,,,,,,Y,N,,,2,74,1,5,1,,Y,,,,,,5,5
237,22,4,,,,,,,N,Y,,,2,37,1,10,5,,Y,,,,,,5,2
238,22,4,,,,,,,Y,N,,,2,25,2,5,5,,Y,,,,,,3,4
239,22,2,,,Y,N,,,,,,,2,43,1,5,2,,Y,,Y,Y,,,5,3
240,22,5,,,,,,,,,N,Y,2,53,1,5,5,,Y,,,,Y,,4,4
241,22,2,,,N,Y,,,,,,,2,60,2,5,2,,,,,,Y,,5,4
242,22,3,,,,,N,Y,,,,,2,38,1,5,2,,,,,,Y,,4,4
243,22,2,,,N,N,,,,,,,2,32,2,8,3,,Y,,,,,,4,4
244,22,5,,,,,,,,,Y,Y,2,64,2,6,6,,Y,,Y,Y,,,3,5
245,15,3,,,,,Y,N,,,,,1,,,,,,,,,,,,,
246,22,4,,,,,,,Y,N,,,2,21,2,6,3,,Y,Y,,,,,3,5
247,22,5,,,,,,,,,N,Y,2,72,2,9,6,,,,,,Y,,4,4
248,22,1,Y,N,,,,,,,,,2,56,2,4,5,,,,,,Y,,4,5
249,22,4,,,,,,,Y,Y,,,2,37,1,7,6,,Y,,,,,,4,4
250,15,5,,,,,,,,,N,Y,1,,,,,,,,,,,,,
251,22,4,,,,,,,Y,Y,,,2,44,1,5,6,,Y,,,,,,2,5
252,15,2,,,Y,N,,,,,,,3,,,,,,,,,,,,,
253,22,5,,,,,,,,,N,Y,2,48,1,4,2,,Y,,,,,,5,5
254,22,5,,,,,,,,,N,Y,2,18,2,4,-oth-,Die Partei,Y,,,,,,3,4
255,22,2,,,Y,N,,,,,,,2,25,4,5,-oth-,Tierschutzpartei,Y,Y,,,,,2,4
256,22,2,,,N,Y,,,,,,,2,35,1,8,2,,Y,,,,,,4,4
257,22,2,,,Y,N,,,,,,,2,28,1,7,2,,Y,,,,,,4,5
258,22,2,,,Y,N,,,,,,,2,57,1,6,4,,Y,Y,,,,,2,4
259,22,5,,,,,,,,,N,Y,2,45,2,8,3,,Y,Y,,,,,4,5
260,22,5,,,,,,,,,N,Y,2,33,1,7,5,,Y,Y,,,,,3,1
261,22,1,Y,N,,,,,,,,,2,65,2,5,3,,Y,Y,,,,,5,5
262,22,5,,,,,,,,,Y,N,2,27,1,7,2,,,,,,Y,,4,3
263,22,5,,,,,,,,,N,Y,2,32,2,7,1,,,,Y,,,,4,3
264,15,3,,,,,N,N,,,,,3,,,,,,,,,,,,,
265,22,4,,,,,,,Y,N,,,2,19,2,6,8,,,,,,Y,,4,4
266,4,1,,,,,,,,,,,,,,,,,,,,,,,,
267,22,1,N,Y,,,,,,,,,2,67,2,4,4,,Y,,,,,,5,3
268,15,1,Y,Y,,,,,,,,,1,,,,,,,,,,,,,
269,22,4,,,,,,,Y,N,,,2,41,1,10,5,,,Y,Y,Y,,,5,4
270,22,5,,,,,,,,,Y,Y,2,37,2,8,6,,Y,,,,Y,,4,5
271,22,2,,,Y,N,,,,,,,2,68,1,6,2,,Y,,,,Y,,5,5
